,Marca temporal,ID,EMOCIÓN EXPERIMENTAL (ORDEN),Emoción 1: ¿Qué emoción has sentido durante el vídeo?,"Emoción 1: Si eligió Otra, ¿cuál es esa otra emoción?","Emoción 1: Después de visualizar el vídeo y teniendo en cuenta los dibujos, por favor indica en qué medida te resulta placentera o no la emoción presentada (PLEASURE):","Emoción 1: Después de visualizar el vídeo y teniendo en cuenta los dibujos, por favor indica en qué medida ha sentido la intensidad de la emoción presentada (AROUSAL):","Emoción 1: Después de visualizar el vídeo y teniendo en cuenta los dibujos, por favor indique en qué medida se ha sentido dominante con la emoción presentada (DOMINANCE):","Emoción 1: Teniendo en cuenta la toma de decisiones importantes en tu vida bajo la emoción, ¿consideras que esa emoción inhibe/bloquea o motiva/acciona tu conducta? ",Emoción 1: ¿Habías visto la película anteriormente?,"Emoción 1: En caso afirmativo, haber visto la película anteriormente, ¿le ha facilitado sentir la emoción que se pretendía?",Emoción 2: ¿Qué emoción has sentido durante el vídeo?,"Emoción 2: Si eligió Otra, ¿cuál es esa otra emoción?","Emoción 2: Después de visualizar el vídeo y teniendo en cuenta los dibujos, por favor indica en qué medida te resulta placentera o no la emoción presentada (PLEASURE):","Emoción 2: Después de visualizar el vídeo y teniendo en cuenta los dibujos, por favor indica en qué medida ha sentido la intensidad de la emoción presentada (AROUSAL):","Emoción 2: Después de visualizar el vídeo y teniendo en cuenta los dibujos, por favor indique en qué medida se ha sentido dominante con la emoción presentada (DOMINANCE):","Emoción 2: Teniendo en cuenta la toma de decisiones importantes en tu vida bajo la emoción, ¿consideras que esa emoción inhibe/bloquea o motiva/acciona tu conducta? ",Emoción 2: ¿Habías visto la película anteriormente?,Emoción 3: ¿Qué emoción has sentido durante el vídeo?,"Emoción 3: Si eligió Otra, ¿cuál es esa otra emoción?","Emoción 3: Después de visualizar el vídeo y teniendo en cuenta los dibujos, por favor indica en qué medida te resulta placentera o no la emoción presentada (PLEASURE):","Emoción 3: Después de visualizar el vídeo y teniendo en cuenta los dibujos, por favor indica en qué medida ha sentido la intensidad de la emoción presentada (AROUSAL):","Emoción 3: Después de visualizar el vídeo y teniendo en cuenta los dibujos, por favor indique en qué medida se ha sentido dominante con la emoción presentada (DOMINANCE):","Emoción 3: Teniendo en cuenta la toma de decisiones importantes en tu vida bajo la emoción, ¿consideras que esa emoción inhibe/bloquea o motiva/acciona tu conducta? ",Emoción 3: ¿Habías visto la película anteriormente?,Emoción 4: ¿Qué emoción has sentido durante el vídeo?,"Emoción 4: Si eligió Otra, ¿cuál es esa otra emoción?","Emoción 4: Después de visualizar el vídeo y teniendo en cuenta los dibujos, por favor indica en qué medida te resulta placentera o no la emoción presentada (PLEASURE):","Emoción 4: Después de visualizar el vídeo y teniendo en cuenta los dibujos, por favor indica en qué medida ha sentido la intensidad de la emoción presentada (AROUSAL):","Emoción 4: Después de visualizar el vídeo y teniendo en cuenta los dibujos, por favor indique en qué medida se ha sentido dominante con la emoción presentada (DOMINANCE):","Emoción 4: Teniendo en cuenta la toma de decisiones importantes en tu vida bajo la emoción, ¿consideras que esa emoción inhibe/bloquea o motiva/acciona tu conducta? ",Emoción 4: ¿Habías visto la película anteriormente?,TomaDecisiónFinal: ¿Qué probabilidad tendría de BEBER MUCHO EN UNA REUNIÓN SOCIAL? ,TomaDecisiónFinal: ¿Qué probabilidad tendría de TENER RELACIONES SEXUALES SIN PROTECCIÓN? ,TomaDecisiónFinal: ¿Qué probabilidad tendría de CONDUCIR UNA MOTOCICLETA SIN CASCO? ,TomaDecisiónFinal: ¿Qué probabilidad tendría de TOMAR EL SOL SIN PROTECCIÓN SOLAR? ,TomaDecisiónFinal: ¿Qué probabilidad tendría de CAMINAR SOLA/O A CASA POR LA NOCHE EN UNA ZONA INSEGURA DE LA CIUDAD? ,"TomaDecisiónFinal: Para terminar: EN GENERAL, EN SU DÍA A DÍA ¿En qué medida considera que sus emociones influyen en su toma de decisiones importantes en su vida? ","Emoción 2: En caso afirmativo, haber visto la película anteriormente, ¿le ha facilitado sentir la emoción que se pretendía?","Emoción 3: En caso afirmativo, haber visto la película anteriormente, ¿le ha facilitado sentir la emoción que se pretendía?","Emoción 4: En caso afirmativo, haber visto la película anteriormente, ¿le ha facilitado sentir la emoción que se pretendía?"
16,25/06/2021 10:45:01,14,1,9,Risa ,5,5,1,2,1,1,2,rabia más,1,6,5,1,2,3,,1,7,6,2,2,9,neutro (al final un poquito de alegría),3,1,1,2,2,2,1,1,3,4,4,0,0,0
17,25/06/2021 11:39:51,15,1,9,"ANGUSTIA, TENSIÓN, MIEDO, ESTADO AFECTIVO NEGATIVO ",1,4,3,1,2,0,2,,1,7,7,1,2,3,,1,5,3,0,2,1,,9,8,7,2,2,4,1,1,1,1,5,0,0,0
18,25/06/2021 12:51:46,35,1,9,"Gracia en ocasiones, no miedo. ",6,7,2,1,2,0,3,ha sentido ira y rabia no tristeza ,4,6,4,1,2,7,"estado emocional negativo, como impotencia. ",3,7,6,2,1,1,,8,7,7,2,2,1,2,1,2,5,4,0,1,0
19,28/06/2021 10:43:51,121,1,9,"por la parodia . angustia, persecución, se imaginaba la comedia. ",3,2,2,1,1,2,1,Alegría al principio depués ya no. Tristez,1,4,3,1,2,3,,1,7,5,2,1,1,alegría ,9,4,4,2,1,3,2,1,4,3,4,0,1,3
20,28/06/2021 11:35:06,122,1,6,más neutro negativo asco cuando le apuñala,3,7,3,1,2,0,2,,1,7,5,1,2,3,,1,7,7,2,2,1,felici espere,8,8,7,2,1,4,2,1,3,4,3,0,0,3
21,28/06/2021 13:51:43,76,1,9,"tensa. Miedo en sí no, no afecto negativo. Más angustia, tensión. ",7,7,6,1,2,0,9,"malestar, preocupación, en parte tristeza (no predominante)",1,4,3,1,2,6,"tensión, un poco de ira pero más un poco de repulsión. La predominante sería impotencia.  ",1,7,7,2,2,1,esperanza y calma ,9,8,8,2,2,5,1,1,4,3,5,0,0,0
22,28/06/2021 15:41:55,66,2,1,,7,5,5,2,2,0,2,más tristeza,1,8,5,1,2,3,ha predominado más el miedo y el asco ,1,9,7,2,1,4,estado afectivo negativo. más tensión que miedo. ,1,8,7,1,1,1,1,4,3,1,4,0,1,3
23,28/06/2021 16:45:25,61,2,9,curiosidad ,7,3,1,2,2,0,2,tristeza ha predominado ,2,8,8,1,2,3,,3,5,5,2,1,9,"risa, susto, agobio, estado afectivo negativo. ",4,6,4,1,1,2,1,2,1,1,4,0,1,2
24,29/06/2021 10:53:14,107,1,5,"tensión, no miedo pero sí sorpresa, también diversión. La predominante tensión, sorpresa es la que valoramos. ",8,7,3,2,2,0,2,al principio alegría hasta el tiroteo ahí impotencia. Nos centramos en tristeza. ,1,6,5,1,2,3,"Asco, ansiedad, un poco de rabia en la patada. El asco es el que más ha predominado. ",3,6,3,0,1,1,superación también pero más alegría ,9,7,5,2,2,3,5,1,4,5,4,0,1,0
25,29/06/2021 11:58:41,34,1,4,"nerviosis,o mjiedo y ya había visto la peli. ",3,5,4,1,1,1,1,"indignación lo que más. Al princ alegría y luego rabia. Tristeza no, más rabia. Centrarnos en la rabia para evaluar. ",1,7,7,1,2,3,,1,9,8,2,2,1,ternura emotivo tb,5,8,8,2,2,1,3,1,4,1,4,0,0,0
26,29/06/2021 12:39:02,16,1,8,,7,3,3,1,2,0,2,predomina la rabia. Tristeza un poco al final. ,1,2,1,2,2,3,,1,5,4,2,1,1,,7,7,5,2,1,4,1,1,1,1,4,0,1,3
27,29/06/2021 16:42:29,124,2,1,"al principio más tristeza, después más alegría. Mtramquilidad, calma, algo positivo. nos centramos en eso. ",7,6,7,2,2,0,2,ha predominado más ira pero nos centramos en tristeza. ,1,8,8,1,2,3,,1,8,8,2,2,4,,1,6,5,1,2,1,1,1,1,1,3,0,0,0
28,29/06/2021 17:45:25,126,2,1,"al principio miedo, tristeza y después alegría y esperanza. centrarnos en alegría",8,8,7,2,2,0,3,"frutración, ira, ... tristeza Nos centramos en su estado negativo no en tristeza. ",1,9,8,1,2,3,"Predominante el miedo (ira poca) en el momento del impacto de la cera shock no se lo esperaba. Sorpresa, la predominante miedo nos centramos en esa. , ",1,8,7,2,2,5,nos centramos en sorpresa ,5,4,5,1,2,1,1,1,1,2,3,0,0,0
29,29/06/2021 18:49:29,78,2,1,,8,6,2,2,2,0,3,"Predomina la rabia nos centramos en eso, ",1,8,7,1,2,4,centrarnos en el miedo ,1,7,6,1,2,9,"Risa y angustia, nerviosismo. Mezcla de emociones, risa, graciosa, ... y tensión por la situación. ",6,6,2,1,2,1,3,1,1,2,2,0,0,0
30,30/06/2021 10:51:02,72,1,4,,2,8,6,1,2,0,2,tensión y tristeza. ,1,3,6,0,2,4,tensión (predominio)  y miedo. En menor medida rabia. Nos centramos en la rabia. ,1,3,3,0,1,1,,7,6,3,2,2,5,3,2,2,3,2,0,2,0
31,30/06/2021 11:37:30,55,1,4,,2,5,1,1,2,0,2,predomina la rabia pero nos centramos en tristeza ,1,9,7,1,2,3,,1,9,9,2,2,1,,9,8,6,2,2,5,4,4,4,5,4,0,0,0
32,30/06/2021 13:35:20,49,1,4,"predomina la sorpresa, yn poco de miedo . nos centramos en general afecto - (porque miedo le ha dado poco)",1,3,3,2,2,0,2,,1,8,7,1,2,3,PREDOMINA RABIA,1,8,8,1,1,1,"tranquilidad, alegría. ",8,7,6,2,2,4,2,1,3,3,4,0,3,0
33,30/06/2021 16:40:26,92,2,1,,9,7,4,2,2,0,1,"al principio alegría, después miedo, efecto negativo. la segunda parte tristeza. cuando aparece el militar tristeza. ",2,5,4,1,2,3,"no sabría definir, emoción negativa. predomina más el miedo. Nos centramos en el estado negativo. ",1,5,5,2,2,4,y angustia,1,6,5,1,2,1,1,1,2,4,3,0,0,0
34,30/06/2021 18:49:51,129,2,1,"al principio tristeza pero bonito el paisaje y optimista. Al final alegría, y emocionada. Nos centramos en alegría. ",8,7,9,2,2,0,2,,1,9,9,2,2,9,"desagrado, rabia no tanto porque ya sabía lo que iba",1,6,4,2,1,9,"INQUIETUD, NERVIOSISMO, NOS CENTRAMOS EN ESO. ",4,5,3,1,2,4,1,1,3,2,5,0,2,0
35,6/07/2021 10:46:00,131,1,4,,1,5,3,1,1,3,2,Nos centramos en tristeza. ,1,8,3,2,2,2,CENTRARNOS EN IRA,1,9,5,2,2,1,"emoción positiva en general, alegría. ",9,8,3,2,2,2,1,1,1,1,2,0,0,0
36,6/07/2021 11:54:03,137,1,5,"casi qeu risa. neutro , nos centramos en esto. ",7,3,1,1,2,0,2,,1,5,3,1,2,3,,3,6,5,2,2,1,ESPERANZA Y ALEGRIA,7,6,6,2,2,4,2,1,4,3,4,0,0,0
37,6/07/2021 13:26:25,91,1,9,"No le ha generado miedo, era predecible. Nos centramos en lo que le transmite el vídeo. Es entretenida",7,2,3,1,2,0,2,frustración ,1,7,9,1,2,9,Impresión / impacto en el momento de la escena. Desagrado. No le ha generado rabia. Estado afectivo negativo. ,1,4,7,2,1,1,estado afectivo positivo ,9,7,7,2,1,5,4,1,1,4,5,0,2,1
38,6/07/2021 15:52:50,79,2,1,,8,7,3,0,1,3,2,,1,7,4,1,2,6,"decepción, más bien desagradable. Nos centramos en desagradable. ",1,9,6,0,1,8,"algo de tensión, pero en general un estado afectivo más positivo. ",7,5,4,1,2,1,1,1,1,1,2,0,3,0
39,6/07/2021 16:40:06,45,2,1,poca intensidad porque ya la había visto. ESTADO FECTIVO POSTIVO NOS CENTRAMOS EN ESO. ,3,2,1,2,1,2,2,"trsiteza, rabia (predomina más). ",1,5,5,0,2,3,nos centramos en ira rabia,1,9,9,2,2,9,"tensión, pero en general neutro. no ha sentido medio. ",1,3,1,2,2,1,1,2,1,1,2,0,0,0
40,6/07/2021 17:35:12,86,2,9,"estado afectivo positivo, de relajación, ... ",8,7,6,2,1,3,2,"Enfado, desagrado, afecto negativo.... ",1,8,9,1,2,2,,1,9,9,0,2,4,"ESTAdo neutro, más que nada un poco de sorpresa. expectante sería lo que ha sentido. Nos centramos en lo que ha sentido. ",7,7,6,2,1,1,1,1,1,3,3,0,0,3
41,6/07/2021 18:43:50,138,2,6,"desagrado por conocer la película. Malestar, , repulsión porque esperaba claves que le dijeran que es ese vídeo. En el rescate felicidad y con el zapato ternura y esperanza. El predominante ha sido el negativo nos centramos en el + del final. . ",7,5,3,2,1,2,1,"al principio alegría, después rabia y finalmente desagrado y tristeza e incluso asco. Nos centramos en tristeza. ",2,5,4,1,2,3,Mucho malestar. Nos centramos en la rabia que es la predominante. ,1,8,7,2,2,9,"nerviosismo y cargante. más estado emocional negativo, centrarnos en eso. ",3,2,2,1,1,1,1,1,1,1,4,0,0,2
42,7/07/2021 11:15:37,159,1,5,sobresalto. estado afectivo neutro. ,4,5,2,2,1,2,2,,1,6,2,0,2,6,Impresión. estado emocional negativo nos centramos en eso. ,1,8,5,2,1,1,,8,7,3,2,2,5,3,1,4,2,4,0,3,0
43,7/07/2021 14:16:05,160,1,5,"ansiedad, tensión, miedo no. Nos centramos en el estado neutro. ",3,5,1,0,2,0,2,predominaba al princ la tristeeza por la ingen. ,1,8,8,0,2,6,"nos centramos en eso, ",1,9,8,2,1,1,,7,6,7,2,1,4,4,3,4,4,2,0,3,2
44,8/07/2021 15:32:02,141,2,1,,7,6,5,2,2,0,2,nos centramos en tristez. Ha predominado más. ,2,6,5,1,2,3,,1,7,7,2,1,4,,2,2,2,2,2,1,1,1,1,1,4,0,1,0
45,8/07/2021 16:23:41,128,2,1,,7,4,1,2,1,1,2,predomina rabia. Nos centr en trist ,1,7,4,1,2,3,más repulsión,1,5,5,2,1,8,"neutro y risa, no se ha metido en el miedo. Nos centramos en la neutra y risa. ",5,3,1,1,2,1,1,1,1,1,4,0,2,0
46,8/07/2021 19:09:19,56,2,1,,9,7,1,2,2,0,2,centrar tristeza ,1,9,1,1,2,6,"no ira, más desagradable. ",3,7,1,1,2,5,SUSTO. Miedo no. estado afectivo neutro. Nos centramos en lo que haya sentido. ,5,5,1,1,2,1,1,1,1,1,4,0,0,0
